component,subcomponent,owner,data_class,description,control_scope,criticality,internet_facing,compensating_controls
web,device-portal,frontend-team,NONE,"Angular 17.0.0 device management portal monitoring control","SOC2,ISO27001,IEC62443",critical,true,"WAF,MFA,IP-allowlist,session-timeout"
web,operator-dashboard,ops-team,NONE,"Real-time telemetry dashboard alerts emergency controls","SOC2,ISO27001,IEC62443,NERC-CIP",critical,true,"VPN-only,MFA,role-based-access,audit-logging"
api,device-registry,device-team,NONE,"Go 1.21.5 gRPC device registration authentication certificates","SOC2,ISO27001,IEC62443",critical,true,"mTLS,certificate-pinning,rate-limiting"
api,telemetry-ingestion,telemetry-team,NONE,"Go gRPC high-throughput telemetry data ingestion","SOC2,ISO27001,IEC62443",critical,true,"mTLS,rate-limiting,DDoS-protection"
api,command-service,control-team,NONE,"Go gRPC device command execution emergency shutdown","SOC2,ISO27001,IEC62443,NERC-CIP",critical,true,"mTLS,command-validation,audit-logging,two-person-rule"
api,firmware-service,firmware-team,NONE,"Go gRPC firmware update OTA deployment rollback","SOC2,ISO27001,IEC62443",critical,true,"code-signing,version-validation,rollback-capability"
api,auth-service,security-team,NONE,"Go gRPC device authentication certificate management","SOC2,ISO27001,IEC62443",critical,true,"mTLS,HSM,certificate-rotation"
messaging,mqtt-broker,messaging-team,NONE,"Eclipse Mosquitto 2.0.18 MQTT message broker pub-sub","SOC2,ISO27001,IEC62443",critical,true,"TLS,client-certificates,ACLs,rate-limiting"
messaging,mqtt-bridge,integration-team,NONE,"MQTT bridge cloud-to-edge bidirectional sync","SOC2,ISO27001,IEC62443",critical,true,"TLS,authentication,message-validation"
db,device-registry-db,data-team,NONE,"etcd 3.5.10 distributed device registry configuration","SOC2,ISO27001,IEC62443",critical,false,"encryption-at-rest,encryption-in-transit,RBAC,backup-encryption"
db,telemetry-db,data-team,NONE,"InfluxDB 2.7.4 time-series telemetry metrics events","SOC2,ISO27001,IEC62443",critical,false,"encryption-at-rest,backup-encryption,retention-policy"
db,metadata-db,data-team,NONE,"PostgreSQL 15.5 device metadata firmware versions","SOC2,ISO27001",high,false,"encryption-at-rest,backup-encryption,multi-AZ"
edge,edge-gateway,edge-team,NONE,"K3s 1.28.3 edge Kubernetes lightweight container orchestration","SOC2,ISO27001,IEC62443",critical,false,"network-segmentation,firewall,intrusion-detection"
edge,edge-agent,edge-team,NONE,"Device agent telemetry collection command execution","SOC2,ISO27001,IEC62443",critical,false,"code-signing,secure-boot,tamper-detection"
storage,firmware-storage,storage-team,NONE,"AWS S3 firmware images update packages","SOC2,ISO27001,IEC62443",critical,false,"encryption-at-rest,versioning,access-logging,code-signing"
storage,telemetry-archive,storage-team,NONE,"AWS S3 Glacier long-term telemetry archive compliance","SOC2,ISO27001,IEC62443,NERC-CIP",high,false,"encryption-at-rest,versioning,access-logging,retention-policy"
infra,alb,platform-team,NONE,"AWS Application Load Balancer SSL termination","SOC2,ISO27001",critical,true,"TLS1.2+,WAF,DDoS-protection"
infra,eks-cluster,platform-team,NONE,"AWS EKS 1.28 Kubernetes container orchestration","SOC2,ISO27001,IEC62443",critical,false,"RBAC,network-policies,pod-security-admission,secrets-encryption"
infra,iot-core,platform-team,NONE,"AWS IoT Core device connectivity message routing","SOC2,ISO27001,IEC62443",critical,true,"X.509-certificates,device-policies,audit-logging"
infra,vpn-gateway,network-team,NONE,"AWS VPN Gateway site-to-site VPN edge connectivity","SOC2,ISO27001,IEC62443",critical,true,"IPsec,strong-encryption,IKEv2"
