component,subcomponent,owner,data_class,description,control_scope,criticality,internet_facing,compensating_controls
web,storefront,frontend-team,PII,"Next.js 14 e-commerce storefront product catalog cart checkout","SOC2,GDPR,CCPA,PCI",critical,true,"WAF,CDN,rate-limiting"
web,seller-portal,seller-team,PII,"Vendor management portal inventory listings analytics","SOC2,GDPR,CCPA",high,true,"WAF,MFA,session-timeout"
web,admin-dashboard,admin-team,PII/PCI,"Admin console user management order processing refunds","SOC2,PCI-DSS",critical,true,"VPN-only,MFA,IP-allowlist"
api,gateway,platform-team,NONE,"Kong 3.4.0 API gateway rate limiting auth routing","SOC2",critical,true,"DDoS-protection,rate-limiting,JWT-validation"
api,product-service,catalog-team,NONE,"Spring Boot 3.1.5 product catalog search inventory","SOC2",high,true,"caching,read-replica"
api,order-service,order-team,PII/PCI,"Spring Boot order processing payment integration shipping","SOC2,PCI-DSS,GDPR",critical,true,"encryption-in-transit,tokenization,audit-logging"
api,user-service,identity-team,PII,"Spring Boot user authentication authorization profiles","SOC2,GDPR,CCPA",critical,true,"MFA,password-policy,session-management"
api,payment-service,billing-team,PCI,"Spring Boot Stripe integration payment processing","PCI-DSS,SOC2",critical,true,"PCI-compliant,tokenization,TLS1.3,HSM"
api,notification-service,ops-team,PII,"Spring Boot email SMS push notifications","SOC2,GDPR",medium,true,"opt-in,unsubscribe,rate-limiting"
api,search-service,search-team,NONE,"Elasticsearch 8.10.0 product search autocomplete","SOC2",high,true,"query-sanitization,rate-limiting"
api,recommendation-service,ml-team,PII,"Spring Boot ML-based product recommendations","SOC2,GDPR",medium,true,"anonymization,aggregation"
api,analytics-service,analytics-team,PII,"Spring Boot user behavior analytics tracking","SOC2,GDPR,CCPA",medium,false,"data-minimization,retention-policy"
messaging,kafka-cluster,platform-team,PII,"Apache Kafka 3.6.0 event streaming order events inventory updates","SOC2,GDPR",critical,false,"encryption-in-transit,ACLs,audit-logging"
messaging,kafka-connect,integration-team,PII,"Kafka Connect data pipeline CDC from databases","SOC2",high,false,"encryption,access-control"
db,product-catalog-db,catalog-team,NONE,"MongoDB 7.0.2 product catalog inventory pricing","SOC2",high,false,"encryption-at-rest,backup-encryption,replica-set"
db,orders-db,order-team,PII/PCI,"PostgreSQL 15.1 order history payment records","SOC2,PCI-DSS,GDPR",critical,false,"encryption-at-rest,backup-encryption,multi-AZ,audit-logging"
db,users-db,identity-team,PII,"PostgreSQL 15.1 user accounts credentials profiles","SOC2,GDPR,CCPA",critical,false,"encryption-at-rest,backup-encryption,password-hashing"
cache,redis-cluster,platform-team,PII,"Redis 7.2.0 session cache product cache","SOC2",high,false,"encryption-in-transit,password-auth,cluster-mode"
storage,product-images,catalog-team,NONE,"AWS S3 product images videos assets","SOC2",medium,true,"CDN,versioning,lifecycle-policy"
storage,order-documents,order-team,PII/PCI,"AWS S3 invoices receipts shipping labels","SOC2,PCI-DSS,GDPR",high,false,"encryption-at-rest,versioning,access-logging,retention-policy"
infra,alb,platform-team,NONE,"AWS Application Load Balancer SSL termination","SOC2",critical,true,"TLS1.2+,WAF,DDoS-protection"
infra,eks-cluster,platform-team,NONE,"AWS EKS 1.28 Kubernetes container orchestration","SOC2",critical,false,"RBAC,network-policies,pod-security-admission,secrets-encryption"
infra,msk-cluster,platform-team,PII,"AWS MSK managed Kafka service","SOC2,GDPR",critical,false,"encryption-in-transit,encryption-at-rest,IAM-auth"
infra,documentdb-cluster,catalog-team,NONE,"AWS DocumentDB MongoDB-compatible database","SOC2",high,false,"encryption-at-rest,automated-backups,VPC"
infra,rds-cluster,order-team,PII/PCI,"AWS RDS PostgreSQL multi-AZ cluster","SOC2,PCI-DSS,GDPR",critical,false,"encryption-at-rest,automated-backups,multi-AZ,performance-insights"
infra,elasticache-cluster,platform-team,PII,"AWS ElastiCache Redis cluster","SOC2",high,false,"encryption-in-transit,encryption-at-rest,auth-token"
